benchmark,policy,gain,paired_lo,paired_hi,delta_static,ds_lo,ds_hi,delta_cached,dc_lo,dc_hi,class_frac_above_static,mean_selected,mean_distinct_clusters,pass_paired,pass_hier
dtd,ranked_response_bilinear_q8_forced,1.990040,1.975505,2.004575,-0.051003,-0.073469,-0.028537,0.071207,0.008492,0.133923,0.1915,4.000,1.865,False,False
dtd,ranked_response_bilinear_full_forced,1.875810,1.838808,1.912812,-0.165233,-0.207929,-0.122536,-0.043023,-0.117765,0.031720,0.0638,4.000,1.305,False,False
eurosat,ranked_response_q2,1.459683,1.391927,1.527439,0.003757,-0.075382,0.082897,0.030931,-0.027053,0.088914,0.3000,2.521,1.662,False,False
eurosat,ranked_response_q4,1.616324,1.593706,1.638942,0.160398,0.085512,0.235285,0.187571,0.116224,0.258919,0.4000,3.375,2.200,True,False
eurosat,ranked_response_q8,1.609156,1.594726,1.623586,0.153230,0.081122,0.225338,0.180403,0.106036,0.254770,0.3000,3.796,2.392,True,False
eurosat,ranked_response_full,1.552890,1.535856,1.569925,0.096964,0.023981,0.169948,0.124138,0.047298,0.200977,0.3000,3.954,2.038,True,False
eurosat,ranked_response_q2_forced,1.644325,1.632557,1.656093,0.188399,0.117148,0.259650,0.215572,0.141676,0.289468,0.5000,4.000,2.346,True,False
eurosat,ranked_response_q4_forced,1.629847,1.617226,1.642468,0.173921,0.102529,0.245314,0.201095,0.127826,0.274364,0.4000,4.000,2.542,True,False
eurosat,ranked_response_q8_forced,1.609100,1.594668,1.623532,0.153174,0.081062,0.225285,0.180347,0.105978,0.254716,0.3000,4.000,2.488,True,False
eurosat,ranked_response_full_forced,1.552874,1.535840,1.569907,0.096948,0.023964,0.169932,0.124121,0.047281,0.200962,0.3000,4.000,2.067,True,False
eurosat,ranked_response_frozen_q2,1.383891,1.306170,1.461612,-0.072035,-0.158651,0.014581,-0.044862,-0.106053,0.016330,0.3000,2.079,1.363,False,False
eurosat,ranked_response_frozen_q4,1.580570,1.539022,1.622118,0.124644,0.046719,0.202569,0.151817,0.083942,0.219692,0.5000,2.900,1.767,True,False
eurosat,ranked_response_frozen_q8,1.629343,1.614330,1.644356,0.173417,0.100912,0.245923,0.200591,0.125465,0.275716,0.5000,3.471,2.046,True,False
eurosat,ranked_response_frozen_full,1.586770,1.568747,1.604794,0.130844,0.057326,0.204362,0.158018,0.080364,0.235671,0.3000,3.737,1.804,True,False
eurosat,ranked_response_frozen_q2_forced,1.651791,1.639848,1.663735,0.195865,0.124466,0.267265,0.223039,0.148521,0.297556,0.7000,4.000,2.246,True,True
eurosat,ranked_response_frozen_q4_forced,1.644000,1.631232,1.656769,0.188074,0.116429,0.259719,0.215248,0.140690,0.289805,0.5000,4.000,2.337,True,False
eurosat,ranked_response_frozen_q8_forced,1.627225,1.612077,1.642373,0.171299,0.098933,0.243664,0.198472,0.123317,0.273628,0.3000,4.000,2.333,True,False
eurosat,ranked_response_frozen_full_forced,1.586568,1.568591,1.604546,0.130643,0.057205,0.204080,0.157816,0.080241,0.235391,0.3000,4.000,1.971,True,False
eurosat,ranked_response_bilinear_q2,1.412918,1.337597,1.488239,-0.043008,-0.126559,0.040544,-0.015834,-0.074262,0.042594,0.3000,2.317,1.621,False,False
eurosat,ranked_response_bilinear_q4,1.629572,1.607818,1.651326,0.173646,0.099366,0.247926,0.200819,0.129929,0.271709,0.7000,3.171,2.137,True,False
eurosat,ranked_response_bilinear_q8,1.636445,1.624854,1.648037,0.180519,0.109689,0.251350,0.207693,0.134781,0.280605,0.5000,3.642,2.454,True,False
eurosat,ranked_response_bilinear_full,1.605271,1.591893,1.618649,0.149345,0.078428,0.220261,0.176518,0.102007,0.251029,0.4000,3.829,2.292,True,False
eurosat,ranked_response_bilinear_q2_forced,1.651601,1.641060,1.662142,0.195675,0.124962,0.266389,0.222849,0.149380,0.296317,0.8000,4.000,2.383,True,True
eurosat,ranked_response_bilinear_q4_forced,1.643448,1.632772,1.654124,0.187522,0.116804,0.258240,0.214695,0.142039,0.287352,0.7000,4.000,2.587,True,True
eurosat,ranked_response_bilinear_q8_forced,1.635928,1.624321,1.647535,0.180002,0.109266,0.250738,0.207175,0.134243,0.280108,0.5000,4.000,2.650,True,False
eurosat,ranked_response_bilinear_full_forced,1.605251,1.591874,1.618628,0.149325,0.078407,0.220243,0.176498,0.101988,0.251009,0.4000,4.000,2.383,True,False
svhn,ranked_response_q2,1.528281,1.474645,1.581917,0.016112,-0.027520,0.059744,0.121507,0.072773,0.170241,0.8000,2.421,1.696,False,False
svhn,ranked_response_q4,1.608383,1.583847,1.632918,0.096214,0.059349,0.133078,0.201609,0.141651,0.261567,0.7000,3.083,2.158,True,True
svhn,ranked_response_q8,1.611359,1.594271,1.628448,0.099190,0.057485,0.140896,0.204586,0.137891,0.271280,0.7000,3.483,2.446,True,True
svhn,ranked_response_full,1.560863,1.540805,1.580922,0.048694,0.003615,0.093774,0.154090,0.084405,0.223775,0.5000,3.608,2.387,True,False
svhn,ranked_response_q2_forced,1.570193,1.545731,1.594654,0.058023,0.024630,0.091416,0.163419,0.108702,0.218136,0.7000,4.000,2.454,True,True
svhn,ranked_response_q4_forced,1.618012,1.601764,1.634261,0.105843,0.066544,0.145142,0.211239,0.147523,0.274954,0.7000,4.000,2.637,True,True
svhn,ranked_response_q8_forced,1.611050,1.593947,1.628153,0.098880,0.057168,0.140592,0.204276,0.137566,0.270986,0.7000,4.000,2.754,True,True
svhn,ranked_response_full_forced,1.560658,1.540614,1.580702,0.048489,0.003421,0.093556,0.153884,0.084193,0.223576,0.5000,4.000,2.617,True,False
svhn,ranked_response_frozen_q2,1.503024,1.439095,1.566954,-0.009145,-0.059653,0.041364,0.096251,0.040215,0.152286,0.7000,3.400,2.192,False,False
svhn,ranked_response_frozen_q4,1.562794,1.516287,1.609302,0.050625,0.013558,0.087692,0.156021,0.100330,0.211711,0.7000,3.708,2.375,True,False
svhn,ranked_response_frozen_q8,1.589588,1.555014,1.624163,0.077419,0.049458,0.105381,0.182815,0.125501,0.240129,0.8000,3.788,2.508,True,True
svhn,ranked_response_frozen_full,1.582737,1.551559,1.613914,0.070567,0.037267,0.103868,0.175963,0.117420,0.234506,0.8000,3.846,2.592,True,True
svhn,ranked_response_frozen_q2_forced,1.553660,1.519559,1.587762,0.041491,0.004685,0.078297,0.146887,0.095159,0.198614,0.7000,4.000,2.450,True,False
svhn,ranked_response_frozen_q4_forced,1.600471,1.578931,1.622011,0.088301,0.054842,0.121761,0.193697,0.135566,0.251828,0.8000,4.000,2.529,True,True
svhn,ranked_response_frozen_q8_forced,1.606714,1.586796,1.626632,0.094545,0.060412,0.128677,0.199940,0.139105,0.260776,0.8000,4.000,2.629,True,True
svhn,ranked_response_frozen_full_forced,1.594006,1.572579,1.615433,0.081837,0.047286,0.116388,0.187233,0.126015,0.248450,0.8000,4.000,2.671,True,True
svhn,ranked_response_bilinear_q2,1.538709,1.483123,1.594295,0.026540,-0.014451,0.067531,0.131936,0.080978,0.182893,0.9000,2.371,1.717,False,False
svhn,ranked_response_bilinear_q4,1.622205,1.601941,1.642470,0.110036,0.076653,0.143419,0.215431,0.154454,0.276409,0.8000,3.050,2.167,True,True
svhn,ranked_response_bilinear_q8,1.617642,1.601258,1.634026,0.105473,0.065401,0.145545,0.210868,0.145245,0.276492,0.7000,3.438,2.413,True,True
svhn,ranked_response_bilinear_full,1.583133,1.563403,1.602864,0.070964,0.027592,0.114337,0.176360,0.107236,0.245484,0.6000,3.596,2.433,True,False
svhn,ranked_response_bilinear_q2_forced,1.583286,1.559633,1.606939,0.071117,0.037495,0.104739,0.176512,0.121796,0.231229,0.7000,4.000,2.483,True,True
svhn,ranked_response_bilinear_q4_forced,1.625758,1.610109,1.641406,0.113588,0.076716,0.150461,0.218984,0.156983,0.280985,0.8000,4.000,2.654,True,True
svhn,ranked_response_bilinear_q8_forced,1.617560,1.601180,1.633939,0.105390,0.065306,0.145475,0.210786,0.145158,0.276414,0.7000,4.000,2.737,True,True
svhn,ranked_response_bilinear_full_forced,1.581820,1.562063,1.601576,0.069651,0.026199,0.113103,0.175046,0.105843,0.244249,0.6000,4.000,2.667,True,False
